date,open,close,high,low,volume,amount
2021-11-19,1599.27,1633.49,1654.08,1593.28,31156,5699883776.0
2021-11-22,1654.08,1659.35,1714.08,1653.08,42573,7994018304.0
2021-11-23,1657.08,1701.51,1722.08,1657.08,45782,8676297728.0
2021-11-24,1705.08,1746.08,1771.08,1702.08,54512,10555736832.0
2021-11-25,1758.08,1761.11,1791.28,1751.33,39753,7803035392.0
2021-11-26,1769.91,1746.09,1772.08,1730.08,32656,6337346304.0
2021-11-29,1765.08,1790.08,1795.08,1756.16,42399,8372476160.0
2021-11-30,1790.48,1735.85,1794.98,1732.58,36925,7192172544.0
2021-12-01,1755.08,1738.07,1765.03,1724.1,26254,5071457024.0
2021-12-02,1745.08,1739.08,1747.23,1724.68,20422,3939731536.0
2021-12-03,1737.08,1776.96,1793.7,1736.13,35818,7045848064.0
2021-12-06,1788.08,1772.38,1795.08,1755.08,31064,6122543872.0
2021-12-07,1785.82,1760.95,1792.95,1751.81,36980,7286659584.0
2021-12-08,1769.96,1848.08,1850.08,1755.08,61048,12285102080.0
2021-12-09,1860.02,1891.63,1922.0,1850.08,64239,13404724480.0
2021-12-10,1865.08,1895.08,1900.86,1861.08,43148,8944582400.0
2021-12-13,1959.08,1923.28,1985.08,1923.08,65807,14139012352.0
2021-12-14,1923.28,1955.08,1972.98,1905.08,40449,8673733632.0
2021-12-15,1947.23,1940.08,1970.03,1930.1,30078,6444715008.0
2021-12-16,1920.08,1924.07,1949.13,1891.31,37211,7865499392.0
2021-12-17,1905.58,1855.78,1913.08,1841.08,48403,9988869888.0
2021-12-20,1855.78,1864.04,1890.74,1846.08,32258,6654596608.0
2021-12-21,1850.08,1843.28,1874.21,1817.91,26286,5354186496.0
2021-12-22,1845.08,1853.08,1868.08,1845.08,17431,3570928368.0
2021-12-23,1858.08,1925.08,1925.08,1830.08,39099,8126298112.0
2021-12-24,1953.96,1999.17,2022.04,1953.96,56130,12295953408.0
2021-12-27,1973.08,1936.9,1973.08,1917.08,37556,8020677632.0
2021-12-28,1938.08,1943.26,1960.58,1921.68,27651,5901940736.0
2021-12-29,1955.08,1846.08,1959.33,1846.08,54049,11195625216.0
2021-12-30,1846.08,1880.08,1894.06,1833.08,35261,7272866560.0
2021-12-31,1875.08,1855.08,1878.06,1833.08,29665,6061415424.0
2022-01-04,1860.08,1856.31,1874.03,1819.08,33843,6913653248.0
2022-01-05,1850.08,1829.08,1870.08,1823.08,28396,5774992128.0
2022-01-06,1827.09,1787.3,1841.08,1743.59,51795,10226933760.0
2022-01-07,1780.08,1747.08,1793.96,1744.4,29817,5831695360.0
2022-01-10,1733.09,1771.08,1782.08,1722.63,29627,5792738048.0
2022-01-11,1753.08,1745.63,1770.08,1736.25,22277,4332180736.0
2022-01-12,1753.08,1772.08,1783.88,1753.08,27474,5384359680.0
2022-01-13,1769.9,1682.47,1773.07,1670.64,56747,10781720576.0
2022-01-14,1682.47,1672.08,1698.08,1668.08,29322,5506185984.0
2022-01-17,1673.08,1666.69,1683.38,1640.42,27354,5074077696.0
2022-01-18,1666.76,1697.35,1713.93,1657.08,31216,5906705920.0
2022-01-19,1724.08,1717.08,1724.08,1693.96,26371,5026993408.0
2022-01-20,1721.08,1774.6,1785.07,1721.08,34014,6665294848.0
2022-01-21,1765.08,1790.07,1798.57,1756.09,30813,6091427584.0
2022-01-24,1760.08,1755.28,1789.08,1736.52,23986,4685441792.0
2022-01-25,1748.08,1748.08,1771.08,1736.08,25510,4971078400.0
2022-01-26,1747.12,1760.08,1774.08,1724.08,23905,4655706624.0
2022-01-27,1806.09,1770.08,1815.9,1757.08,42665,8450329088.0
2022-01-28,1760.08,1692.08,1773.08,1685.09,41020,7889492992.0
2022-02-07,1706.07,1673.04,1718.64,1655.08,35150,6601799680.0
2022-02-08,1673.96,1644.08,1677.95,1595.08,41713,7585130496.0
2022-02-09,1644.17,1701.06,1713.08,1632.05,33885,6346699776.0
2022-02-10,1705.08,1678.08,1710.98,1662.47,23032,4315456768.0
2022-02-11,1662.08,1655.05,1705.87,1646.08,33746,6296909568.0
2022-02-14,1645.08,1673.75,1682.08,1642.39,20196,3762313344.0
2022-02-15,1673.88,1695.7,1716.08,1664.08,27106,5131842048.0
2022-02-16,1705.08,1697.63,1712.08,1693.08,14587,2769034320.0
2022-02-17,1705.69,1692.07,1716.56,1686.08,18214,3450265040.0
2022-02-18,1682.71,1712.08,1713.06,1670.74,19385,3670339744.0
2022-02-21,1705.08,1682.07,1711.98,1674.03,20816,3920377360.0
2022-02-22,1665.09,1612.95,1666.08,1605.1,52299,9473992704.0
2022-02-23,1616.49,1632.09,1639.08,1605.16,28112,5118197760.0
2022-02-24,1613.08,1569.19,1619.07,1553.18,65359,11578557184.0
2022-02-25,1580.08,1604.14,1613.36,1580.08,38979,6999524096.0
2022-02-28,1592.14,1595.48,1602.08,1572.08,28923,5158148352.0
2022-03-01,1607.08,1663.56,1668.65,1607.08,47379,8721229312.0
2022-03-02,1645.08,1649.96,1656.07,1630.08,20074,3690612336.0
2022-03-03,1650.88,1605.08,1655.33,1599.08,31547,5703580672.0
2022-03-04,1577.08,1585.58,1597.97,1560.18,31047,5509157632.0
2022-03-07,1565.28,1512.08,1573.08,1508.88,49156,8487507456.0
2022-03-08,1565.06,1558.28,1591.74,1537.08,57215,10087484416.0
2022-03-09,1569.18,1584.26,1610.08,1526.19,56434,10018589952.0
2022-03-10,1613.08,1599.51,1626.08,1596.08,36462,6587438848.0
2022-03-11,1571.08,1574.09,1582.08,1523.16,47727,8335618304.0
2022-03-14,1535.08,1505.08,1555.08,1505.08,49007,8416841984.0
2022-03-15,1455.08,1408.08,1490.08,1408.08,89056,14567142656.0
2022-03-16,1439.08,1480.03,1488.98,1398.08,77593,12753010176.0
2022-03-17,1525.08,1525.23,1560.08,1516.74,68352,11843531776.0
2022-03-18,1523.08,1512.87,1550.08,1497.36,38349,6564085504.0
2022-03-21,1529.08,1509.38,1530.73,1500.09,27877,4763083264.0
2022-03-22,1528.96,1500.08,1528.96,1491.41,21054,3578291200.0
2022-03-23,1510.08,1557.27,1575.08,1502.08,58067,10096341504.0
2022-03-24,1543.08,1526.01,1545.08,1522.43,25815,4457504512.0
2022-03-25,1517.08,1495.08,1539.08,1490.08,29709,5054831360.0
2022-03-28,1430.08,1465.88,1469.88,1409.08,57542,9392007936.0
2022-03-29,1466.58,1472.08,1496.58,1466.58,25935,4343365376.0
2022-03-30,1503.08,1535.18,1535.18,1500.08,42433,7276379136.0
2022-03-31,1525.08,1524.08,1543.68,1513.88,25174,4338022912.0
2022-04-01,1535.02,1585.09,1598.08,1526.77,44862,7936957184.0
2022-04-06,1558.08,1570.08,1593.81,1558.08,27820,4910792448.0
2022-04-07,1563.08,1570.08,1590.08,1555.18,20196,3568182336.0
2022-04-08,1573.08,1589.08,1593.78,1571.62,22941,4081618544.0
2022-04-11,1575.08,1525.08,1575.08,1511.11,43864,7568782592.0
2022-04-12,1534.08,1587.08,1593.05,1513.08,41630,7284546304.0
2022-04-13,1572.08,1574.08,1600.08,1556.16,31148,5534915840.0
2022-04-14,1593.08,1614.08,1640.98,1585.28,37650,6834657280.0
2022-04-15,1607.28,1611.07,1623.08,1600.97,21041,3800797632.0
2022-04-18,1586.21,1595.9,1603.08,1573.08,19793,3525102976.0
2022-04-19,1605.08,1595.38,1638.07,1580.58,24205,4359852032.0
2022-04-20,1606.77,1602.08,1625.08,1573.76,24156,4342043392.0
2022-04-21,1595.28,1585.06,1611.08,1575.08,28953,5160787968.0
2022-04-22,1568.08,1578.08,1592.96,1565.26,27900,4955360768.0
2022-04-25,1555.08,1513.08,1581.58,1507.08,53658,9352986880.0
2022-04-26,1508.41,1537.56,1554.06,1505.08,44564,7692845312.0
2022-04-27,1572.2,1600.0,1615.08,1572.2,57402,10289893120.0
2022-04-28,1598.08,1640.08,1650.08,1591.58,44010,8038681856.0
2022-04-29,1641.08,1633.46,1654.08,1616.06,34885,6384066560.0
2022-05-05,1635.08,1642.08,1675.08,1634.06,33661,6235017472.0
2022-05-06,1620.07,1598.08,1624.08,1586.08,28596,5138176768.0
2022-05-09,1585.08,1557.08,1585.08,1543.08,30352,5324616192.0
2022-05-10,1525.08,1571.27,1590.04,1510.09,40119,7018451200.0
2022-05-11,1560.08,1573.08,1593.56,1557.08,30313,5372950016.0
2022-05-12,1558.08,1567.75,1583.08,1555.08,22038,3888480080.0
2022-05-13,1585.08,1583.32,1603.02,1571.08,20731,3690141232.0
2022-05-16,1602.08,1563.08,1602.08,1547.75,27765,4881208576.0
2022-05-17,1574.96,1573.08,1580.08,1560.08,20145,3557048800.0
2022-05-18,1578.74,1566.08,1579.0,1548.1,24850,4362487040.0
2022-05-19,1550.08,1561.08,1562.08,1544.08,19776,3459059184.0
2022-05-20,1565.07,1605.09,1606.23,1557.08,41950,7493460224.0
